,Unnamed: 0,Area,Average_household_size,Average_number_of_vehicles_per_apartment,Average_number_of_vehicles_per_house_condo,Median_age_of_females,Median_age_of_males,Median_household_income,Median_rent,Neighborhood_Name,Percentage_of_family_households,Percentage_of_foreign_born_residents,Percentage_of_married_couple_families,Percentage_of_married_couple_families_with_children,Percentage_of_native_residents_born_outside_the_US,Percentage_of_never_married_females_Over_15,Percentage_of_never_married_males_Over_15,Percentage_of_people_born_in_another_state,Percentage_of_people_born_in_the_state,Percentage_of_people_that_do_not_speak_english,Percentage_of_single_mother_households,Percentage_of_units_with_a_mortgage,Population,Population_density,Population_of_males,Address,coords,lat,lon
119,219,0.026000000000000002,2.2,1.0,1.7,30.1,43.5,20362,725,Bearss Heights,54.6,14.8,10.2,17.5,11.2,54.0,5.6,39.3,34.7,2.2,45.3,71.9,51,1949,16,"Bearss Heights,Tampa,FL","(28.086248, -82.45159)",28.086248,-82.45159
120,220,0.25,3.0,1.1,1.5,35.0,29.3,26907,881,Beasley,40.9,14.0,26.3,3.4,4.7,24.5,17.9,19.8,61.5,19.4,34.2,85.5,971,3878,443,"Beasley,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
121,221,0.006999999999999999,1.7,2.8,2.4,53.0,53.8,135985,1168,Beasley s,58.7,6.9,60.6,36.0,0.4,4.1,26.2,48.8,43.9,0.0,22.9,46.2,8,1189,3,"Beasley s,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
122,222,0.013000000000000001,2.2,1.1,1.7,28.7,30.2,25500,689,Bel Aire,39.4,39.3,30.9,39.8,9.4,20.3,12.6,22.1,29.2,8.0,15.5,34.1,29,2315,12,"Bel Aire,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
123,223,0.006,2.7,2.1,2.0,52.4,47.3,107019,1535,Bel Grand,54.5,7.7,57.1,29.0,2.1,15.6,10.7,45.4,44.7,0.0,6.7,47.6,29,4812,11,"Bel Grand,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
125,226,0.456,7.3,1.6,2.1,34.3,31.1,77693,857,Bel Mar Revised,56.8,6.9,61.4,31.4,1.9,11.7,14.5,41.4,49.8,0.7,3.9,76.1,315,691,162,"Bel Mar Revised,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
126,227,0.205,2.6,1.5,2.0,45.9,39.0,92167,1378,Bel Mar Shores,53.7,6.9,49.1,29.0,1.6,6.7,17.2,41.8,49.7,0.0,9.6,67.1,183,893,99,"Bel Mar Shores,Tampa,FL","(28.06204875, -82.4101135742)",28.06204875,-82.4101135742
127,228,0.18600000000000003,2.3,1.5,1.3,40.9,34.8,94366,1236,Bel Mar,53.8,6.5,53.4,22.3,2.1,8.9,16.7,39.4,52.0,0.8,4.5,71.2,464,2489,253,"Bel Mar,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
128,229,0.18600000000000003,2.3,1.5,1.3,40.9,34.8,94366,1236,Bel Mar,53.8,6.5,53.4,22.3,2.1,8.9,16.7,39.4,52.0,0.8,4.5,71.2,464,2489,253,"Bel Mar,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
129,230,0.002,2.1,1.2,1.5,26.6,43.0,111292,898,Bel Wil,23.1,9.1,21.9,33.7,4.5,50.6,13.3,41.0,45.4,0.0,3.7,81.6,31,14082,8,"Bel Wil,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
130,231,0.003,1.8,1.2,1.7,35.3,37.8,66325,829,Bell Park,24.7,11.1,31.9,59.3,1.8,33.7,12.7,43.7,43.4,0.0,4.6,69.7,7,2483,3,"Bell Park,Tampa,FL","(27.9453485, -82.4540778)",27.9453485,-82.4540778
131,232,0.022000000000000002,3.3,2.3,2.2,51.7,51.2,69333,894,Bella Casa,59.5,14.3,73.2,22.8,3.6,3.2,14.4,46.6,35.5,0.0,8.3,82.7,6,279,3,"Bella Casa,Tampa,FL","(27.9384011, -82.4948085)",27.9384011,-82.4948085
133,234,0.021,3.9,2.3,2.2,62.1,61.5,83325,1074,Bella Vista,59.5,14.3,73.2,23.3,3.6,3.2,14.4,46.6,35.5,0.0,8.4,82.7,12,560,7,"Bella Vista,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
134,235,0.017,3.3,2.3,2.2,51.7,51.2,69333,894,Bella Vita,59.5,14.3,73.2,26.9,3.6,3.2,14.4,46.6,35.5,0.0,9.7,82.7,4,236,2,"Bella Vita,Tampa,FL","(28.1542638, -82.3004482)",28.1542638,-82.3004482
135,236,0.006,3.2,11.9,2.4,36.9,45.4,108438,1315,Bellamy,64.1,16.1,75.6,36.7,1.4,13.7,10.3,41.7,40.8,0.0,1.4,79.4,3,534,1,"Bellamy,Tampa,FL","(27.90371215, -82.4902314591301)",27.90371215,-82.4902314591301
136,237,0.066,37.0,1.8,2.0,46.4,32.8,76595,1178,Belle Glen,60.7,16.1,60.5,31.9,1.4,13.1,17.1,41.7,40.8,8.2,0.8,68.8,161,2455,89,"Belle Glen,Tampa,FL","(28.1542638, -82.3004482)",28.1542638,-82.3004482
137,238,0.013999999999999999,2.1,1.4,1.8,30.6,31.8,58281,958,Belle Vista,36.4,11.4,38.3,46.2,2.1,16.4,18.8,49.0,37.5,0.0,2.2,88.6,10,739,4,"Belle Vista,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
139,240,0.043,2.9,1.9,1.7,38.3,33.8,53750,897,Bellingham Oaks,47.4,25.3,44.9,12.2,6.6,11.0,17.2,32.6,35.4,8.3,22.2,79.1,124,2887,56,"Bellingham Oaks,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
140,241,0.019,2.4,1.0,1.3,34.4,37.4,25806,484,Bellmere,36.0,6.6,14.5,16.0,2.7,19.1,29.3,22.1,68.6,0.0,19.6,66.2,26,1339,15,"Bellmere,Tampa,FL","(28.06204875, -82.4101135742)",28.06204875,-82.4101135742
141,242,0.08800000000000001,2.6,1.5,2.0,45.9,39.0,92167,1378,Belmar Shore,53.7,6.9,49.1,29.1,1.6,6.7,17.2,41.8,49.7,0.0,9.6,67.1,78,890,42,"Belmar Shore,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
142,243,0.649,1.2,0.9,1.5,14.9,11.6,11622,311,Belmont Heights,36.1,8.9,15.6,10.6,3.1,29.3,27.9,16.9,71.1,6.6,24.1,52.4,721,1111,352,"Belmont Heights,Tampa,FL","(27.9795721, -82.4331102)",27.9795721,-82.4331102
144,245,0.002,1.6,1.1,1.3,33.8,42.7,55643,880,Belmont,12.2,12.3,13.2,2.4,7.2,24.4,34.9,32.5,48.0,0.0,63.0,56.1,5,2312,2,"Belmont,Tampa,FL","(27.9795721, -82.4331102)",27.9795721,-82.4331102
145,246,0.011000000000000001,34.0,0.8,1.6,34.3,33.8,22375,815,Belt Court,55.4,7.4,23.1,3.0,8.4,25.1,11.4,36.6,47.6,8.9,20.3,66.9,54,4997,25,"Belt Court,Tampa,FL","(28.0524466, -82.453054)",28.0524466,-82.453054
146,247,0.003,2.5,1.0,1.7,56.1,37.9,21875,900,Belvedere Acres,28.5,22.0,31.7,42.1,3.0,23.7,35.3,26.9,48.1,0.0,13.4,41.6,6,1850,3,"Belvedere Acres,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
147,248,0.091,2.3,1.3,1.6,37.5,35.2,79981,1558,Belvedere Park,37.2,19.3,23.2,25.1,4.4,15.1,29.6,38.3,38.0,0.0,16.7,52.3,32,352,16,"Belvedere Park,Tampa,FL","(28.06204875, -82.4101135742)",28.06204875,-82.4101135742
148,249,0.03,3.7,0.9,2.4,26.1,41.2,20750,645,Belvedere Place,48.1,28.6,28.5,14.2,6.5,27.2,9.4,24.3,40.6,18.7,11.4,44.3,368,12435,148,"Belvedere Place,Tampa,FL","(27.98386625, -82.4875848652324)",27.98386625,-82.4875848652324
149,250,0.001,2.5,1.0,1.3,36.3,39.5,27250,511,Belvoir,36.0,6.6,14.5,18.9,2.7,19.1,29.3,22.1,68.6,0.0,23.2,66.2,3,2576,2,"Belvoir,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
150,251,0.061,2.7,2.1,1.8,40.0,43.1,58750,856,Benjamin Center,36.5,37.6,37.0,11.3,11.3,8.2,31.9,22.4,28.7,18.9,4.8,61.5,40,655,20,"Benjamin Center,Tampa,FL","(28.06277645, -82.420203968122)",28.06277645,-82.420203968122
151,252,0.177,3.5,1.4,2.2,44.4,49.2,52791,1103,Benjamin s Farm,58.3,31.4,42.9,10.5,4.0,22.9,24.0,31.1,33.5,17.9,15.8,58.4,632,3566,307,"Benjamin s Farm,Tampa,FL","(28.06277645, -82.420203968122)",28.06277645,-82.420203968122
152,257,0.03,3.2,11.9,2.4,36.9,45.4,108438,1315,Berkford Place,64.1,16.1,75.6,30.5,1.4,13.7,10.3,41.7,40.8,0.0,1.1,79.4,20,656,9,"Berkford Place,Tampa,FL","(28.06204875, -82.4101135742)",28.06204875,-82.4101135742
153,258,0.012,27.0,1.6,2.0,55.8,51.9,108250,1125,Berriman Place,48.8,11.4,46.0,16.1,2.1,8.5,16.1,49.0,37.5,0.0,25.4,68.5,17,1451,9,"Berriman Place,Tampa,FL","(28.06204875, -82.4101135742)",28.06204875,-82.4101135742
154,259,0.002,2.5,0.8,1.6,28.8,36.1,17583,621,Berryhill,45.9,9.5,38.4,15.9,1.3,14.1,22.9,33.8,55.4,0.0,22.7,46.9,3,1227,1,"Berryhill,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
155,260,0.009000000000000001,3.2,0.8,1.7,26.0,20.8,24554,656,Bethel Heights,67.3,6.4,8.7,4.5,3.4,46.4,30.7,13.8,76.4,2.6,27.3,59.6,47,5398,18,"Bethel Heights,Tampa,FL","(27.9794651, -82.4456498)",27.9794651,-82.4456498
156,263,0.011000000000000001,26.0,1.2,1.7,43.2,31.3,46667,843,Beverly Park,49.4,26.5,41.4,42.1,7.3,23.5,29.6,31.9,34.2,5.0,6.9,58.2,80,6962,40,"Beverly Park,Tampa,FL","(27.947281, -82.498435)",27.947281,-82.498435
157,265,0.003,2.2,1.1,14.0,29.4,27.6,38214,773,Big Oak Reserve Condo,40.0,15.7,19.8,16.7,8.2,26.3,23.9,35.7,40.4,0.0,31.3,25.5,12,4430,6,"Big Oak Reserve Condo,Tampa,FL","(27.96662255, -82.4669105772661)",27.96662255,-82.4669105772661
158,266,0.027999999999999997,3.0,1.4,1.5,37.9,40.0,33571,694,Big Oaks,52.3,10.7,35.4,16.1,2.8,15.7,26.8,19.4,67.0,3.9,9.2,41.3,131,4611,73,"Big Oaks,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
159,270,0.109,0.5,0.8,1.6,14.2,13.3,23234,305,Bon Air,11.1,9.4,14.9,45.2,4.1,26.5,19.1,41.3,45.2,3.4,3.7,39.4,28,256,13,"Bon Air,Tampa,FL","(27.9128145, -82.4492677)",27.9128145,-82.4492677
160,271,0.013999999999999999,2.2,1.7,1.4,42.4,51.3,24009,649,Bonniehaven,27.9,28.6,21.8,37.5,6.5,10.4,28.9,24.3,40.6,21.9,71.0,66.7,77,5333,42,"Bonniehaven,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
161,272,0.011000000000000001,2.3,0.8,1.1,25.4,17.0,15789,603,Booker T Park,40.6,3.8,5.8,1.6,4.9,40.2,18.3,24.5,66.8,3.8,37.0,53.3,108,10059,36,"Booker T Park,Tampa,FL","(27.9862655, -82.4154607)",27.9862655,-82.4154607
162,274,0.006999999999999999,2.5,0.8,0.8,29.2,23.1,16516,655,Bougainvillea Oaks,51.4,14.5,9.0,12.1,3.9,38.0,21.9,33.7,47.9,0.0,35.3,46.8,59,8485,25,"Bougainvillea Oaks,Tampa,FL","(28.043559, -82.430495)",28.043559,-82.430495
163,275,0.013999999999999999,1.8,1.1,1.3,37.2,49.4,16494,450,Bougenvista,46.6,19.4,15.8,22.1,16.9,6.4,11.7,32.9,30.8,20.9,31.3,23.0,45,3179,23,"Bougenvista,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
164,276,0.071,5.9,1.6,2.0,27.4,24.5,67069,844,Boulevard Heights,49.3,11.4,54.8,28.8,2.1,9.2,16.0,49.0,37.5,1.1,11.9,72.6,48,679,25,"Boulevard Heights,Tampa,FL","(27.9524258, -82.4646426)",27.9524258,-82.4646426
168,283,0.063,2.7,1.4,2.0,43.8,40.2,80000,897,Brentwood,48.6,14.2,57.8,34.6,1.7,12.2,19.5,40.9,43.3,4.6,1.9,56.8,363,5784,192,"Brentwood,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
170,286,0.036000000000000004,2.6,1.4,2.2,33.8,33.9,47101,816,Bridgeford Oaks,59.9,14.4,43.5,27.8,7.2,17.7,18.6,35.2,43.1,6.9,10.0,72.3,173,4767,82,"Bridgeford Oaks,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
172,292,0.109,2.1,1.0,1.5,34.0,31.9,72454,1116,Broadmoor Park,54.9,26.5,37.5,13.1,7.3,8.9,31.3,31.9,34.2,12.9,26.1,69.6,300,2745,170,"Broadmoor Park,Tampa,FL","(28.03244, -82.405462)",28.03244,-82.405462
173,293,0.032,2.5,0.8,1.6,28.8,36.1,17583,621,Broadway,45.9,9.5,38.4,14.2,1.3,14.1,22.9,33.8,55.4,0.0,20.3,46.9,42,1327,21,"Broadway,Tampa,FL","(27.966776, -82.378205)",27.966776,-82.378205
176,297,0.06,8.3,1.8,2.1,18.0,16.2,35064,547,Brookshire,60.4,18.2,60.0,30.7,1.9,13.2,16.4,39.8,40.2,7.1,2.5,70.8,42,703,22,"Brookshire,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
177,298,0.034,3.2,1.0,1.7,20.6,22.5,29097,730,Brookside,58.4,17.5,28.6,8.4,9.5,12.0,21.4,22.1,51.0,0.0,19.9,44.0,19,562,9,"Brookside,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
181,304,0.09699999999999999,32.4,1.2,1.6,24.3,22.4,30099,651,Buffalo Ave Farms,56.8,12.5,37.1,20.9,7.8,22.8,20.5,32.5,47.2,0.0,11.6,69.1,67,694,34,"Buffalo Ave Farms,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
182,305,0.039,2.9,0.6,2.0,46.2,43.3,28371,790,Buffalo Estates,56.1,18.2,17.6,5.4,6.9,30.2,26.5,19.7,55.2,7.5,26.8,66.3,228,5883,103,"Buffalo Estates,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
183,306,0.004,2.5,0.7,1.4,28.9,33.3,28571,752,Buffalo Gardens,47.2,15.7,10.6,4.1,4.2,24.0,29.8,20.0,60.1,0.0,27.1,53.2,13,3422,5,"Buffalo Gardens,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
184,307,0.09,2.4,2.5,1.8,45.6,38.8,57919,1251,Buffalo Heights,50.1,11.8,32.9,17.7,2.7,28.5,20.1,38.0,47.5,0.9,20.8,65.0,472,5246,204,"Buffalo Heights,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
185,308,0.016,3.0,0.7,1.4,34.4,39.7,34051,896,Buffalo Park,47.2,15.7,10.6,4.0,4.2,24.0,29.8,20.0,60.1,5.7,26.4,53.2,43,2713,19,"Buffalo Park,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
186,309,0.006999999999999999,3.2,1.0,1.6,39.2,25.9,42634,579,Buffalo,56.1,6.8,40.2,6.6,7.9,23.2,34.9,35.3,50.0,0.0,9.5,88.6,57,8126,34,"Buffalo,Tampa,FL","(27.9814094, -82.4528723)",27.9814094,-82.4528723
187,310,0.063,2.6,0.8,1.8,29.5,34.9,17504,622,Bunchville,45.8,9.5,38.3,15.1,1.3,14.1,23.0,33.8,55.4,1.5,20.3,45.3,79,1253,39,"Bunchville,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
188,311,0.044000000000000004,2.2,1.2,1.5,26.9,43.5,112472,908,Bungalow City,23.1,9.1,21.9,33.7,4.5,50.6,13.3,41.0,45.4,1.6,3.7,81.6,329,7417,92,"Bungalow City,Tampa,FL","(27.944519, -82.482158)",27.944519,-82.482158
189,312,0.001,2.1,1.2,1.5,26.6,43.0,111292,898,Bungalow Park Condo,23.1,9.1,21.9,34.8,4.5,50.6,13.3,41.0,45.4,0.0,3.9,81.6,18,12685,5,"Bungalow Park Condo,Tampa,FL","(27.9423855, -82.4902074)",27.9423855,-82.4902074
190,313,0.04,1.8,1.3,1.7,20.8,24.1,32667,516,Bungalow Park,53.9,17.8,50.3,33.3,6.5,6.4,9.4,31.5,44.2,4.3,1.9,73.1,31,778,13,"Bungalow Park,Tampa,FL","(27.944519, -82.482158)",27.944519,-82.482158
191,315,0.031,2.2,1.1,1.9,47.2,45.5,78750,807,Burnbrook,41.9,6.9,54.2,37.5,7.1,7.3,7.5,53.4,32.6,0.0,1.2,67.8,31,986,15,"Burnbrook,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
192,316,0.004,2.4,1.3,1.8,33.3,38.9,45152,872,Burnes Lake Condo,39.2,8.2,33.7,29.6,3.5,13.2,19.3,38.5,49.8,0.0,11.6,56.7,13,3555,6,"Burnes Lake Condo,Tampa,FL","(28.067478, -82.477366)",28.067478,-82.477366
193,317,0.022000000000000002,2.4,1.3,1.8,33.3,38.9,45152,872,Burnes Lake Estates,39.2,8.2,33.7,27.9,3.5,13.2,19.3,38.5,49.8,0.0,10.9,56.7,81,3629,37,"Burnes Lake Estates,Tampa,FL","(28.067478, -82.477366)",28.067478,-82.477366
194,318,0.002,2.2,1.0,1.5,54.2,50.5,35333,701,Burnette Place,36.6,16.8,31.6,32.5,5.2,6.2,20.8,35.3,42.6,0.0,17.3,39.5,4,2131,2,"Burnette Place,Tampa,FL","(28.0370823, -82.4212613449711)",28.0370823,-82.4212613449711
195,320,0.147,3.0,9.6,0.7,68.3,55.4,62556,811,Butlers First Lake,42.0,14.8,59.0,33.3,11.2,5.2,18.3,39.3,34.7,13.5,4.8,77.1,237,1616,112,"Butlers First Lake,Tampa,FL","(27.95846, -82.473484)",27.95846,-82.473484
196,323,0.015,3.3,2.3,2.2,51.7,51.2,69333,894,Byrd Lake Woods,59.5,14.3,73.2,24.2,3.6,3.2,14.4,46.6,35.5,0.0,8.8,82.7,4,264,2,"Byrd Lake Woods,Tampa,FL","(28.06828705, -82.4177877861278)",28.06828705,-82.4177877861278
199,330,0.03,2.9,1.3,2.1,32.3,34.0,68529,1059,Cambridge Villas,65.9,24.0,52.8,22.4,8.7,18.4,16.9,38.1,29.2,3.7,11.2,85.0,89,2999,42,"Cambridge Villas,Tampa,FL","(28.0029802, -82.4878207)",28.0029802,-82.4878207
200,331,0.053,3.6,1.5,1.3,31.4,19.7,36152,950,Camden Woods,48.7,11.9,31.1,19.2,12.7,19.3,24.0,35.6,39.8,9.1,3.1,33.0,511,9644,237,"Camden Woods,Tampa,FL","(28.0998134, -82.3755847)",28.0998134,-82.3755847
201,332,0.45799999999999996,2.8,3.3,0.6,47.0,46.5,53938,801,Cameo Villas,52.9,43.9,57.6,31.6,10.0,12.1,13.4,22.0,24.1,20.2,4.0,67.3,1600,3490,685,"Cameo Villas,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
202,333,0.059000000000000004,2.8,0.5,1.4,42.5,27.6,27553,694,Campobella,41.6,2.6,14.6,14.7,3.8,28.1,26.9,24.2,69.4,2.2,25.9,65.2,291,4943,131,"Campobella,Tampa,FL","(27.8242343, -82.4851605)",27.8242343,-82.4851605
203,334,0.11800000000000001,2.8,0.7,1.2,31.0,17.2,21286,746,Campobello,46.3,6.4,10.3,4.9,3.4,31.6,21.3,13.8,76.4,1.2,31.2,62.9,622,5260,253,"Campobello,Tampa,FL","(27.8242343, -82.4851605)",27.8242343,-82.4851605
204,337,0.026000000000000002,1.3,3.9,0.5,23.9,13.9,19367,382,Canal Shores,21.2,31.4,66.7,29.0,4.0,7.6,25.4,31.2,33.5,36.8,9.0,92.7,50,1941,28,"Canal Shores,Tampa,FL","(27.8720175, -82.502981)",27.8720175,-82.502981
205,338,0.01,2.9,0.6,2.0,46.2,43.3,28371,790,Candlewood,56.1,18.2,17.6,5.4,6.9,30.2,26.5,19.7,55.2,1.8,27.0,66.3,59,5719,26,"Candlewood,Tampa,FL","(27.994509, -82.469224)",27.994509,-82.469224
206,342,0.006999999999999999,3.4,2.1,2.1,26.8,31.2,55898,1014,Capri Manor,56.6,14.4,53.0,25.0,7.2,31.7,20.4,35.2,43.1,0.0,5.9,41.4,17,2343,7,"Capri Manor,Tampa,FL","(28.1323766, -82.292185)",28.1323766,-82.292185
207,343,0.005,3.7,0.9,2.4,26.1,41.2,20750,645,Carlton Place,48.1,28.6,28.5,14.2,6.5,27.2,9.4,24.3,40.6,12.3,11.4,44.3,63,12706,25,"Carlton Place,Tampa,FL","(27.9504396, -82.3719385)",27.9504396,-82.3719385
209,345,0.018000000000000002,3.3,1.4,2.7,32.8,45.9,214464,1535,Carol Shores,75.4,7.7,74.4,33.9,2.1,12.0,19.5,45.4,44.7,0.0,3.0,69.1,7,393,4,"Carol Shores,Tampa,FL","(28.0669955, -82.4196488)",28.0669955,-82.4196488
210,346,0.027999999999999997,3.5,1.5,1.8,27.3,25.9,22794,815,Carolina Terrace,57.6,2.6,24.7,14.6,3.8,29.0,32.8,24.2,69.4,2.6,14.1,60.0,91,3278,46,"Carolina Terrace,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
211,347,0.008,2.5,0.9,1.5,51.3,53.1,33900,472,Carolyn Estates,32.3,19.4,47.0,39.3,16.9,8.3,11.3,32.9,30.8,0.0,1.7,47.8,31,4082,14,"Carolyn Estates,Tampa,FL","(28.0536763, -82.3993143)",28.0536763,-82.3993143
214,350,0.037000000000000005,2.8,1.7,1.9,37.3,39.3,50972,742,Carroll City Center,59.4,13.4,51.4,26.7,1.4,20.9,20.6,40.9,44.4,6.5,5.7,57.7,159,4324,77,"Carroll City Center,Tampa,FL","(28.0461036, -82.4797424)",28.0461036,-82.4797424
215,352,0.009000000000000001,0.6,9.5,1.5,13.8,12.3,17670,220,Carroll Heights,48.9,13.4,53.4,39.7,1.4,6.1,10.7,40.9,44.4,0.0,9.3,69.9,4,434,2,"Carroll Heights,Tampa,FL","(28.0536763, -82.3993143)",28.0536763,-82.3993143
216,354,0.006999999999999999,2.5,1.5,1.6,33.9,32.8,61453,874,Carroll Oaks,53.0,31.2,40.4,36.5,11.6,14.4,16.1,31.2,26.0,4.5,4.4,66.9,23,3524,10,"Carroll Oaks,Tampa,FL","(28.0461036, -82.4797424)",28.0461036,-82.4797424
218,358,0.016,2.9,4.5,1.7,49.7,51.2,130809,1081,Carrollwood Cove,66.7,17.3,77.9,27.6,8.3,18.0,15.7,35.8,38.7,0.0,2.0,52.6,29,1866,13,"Carrollwood Cove,Tampa,FL","(28.07206345, -82.5246482697083)",28.07206345,-82.5246482697083
220,361,0.048,2.9,4.5,1.7,49.7,51.2,130809,1081,Carrollwood Crossing,66.7,17.3,77.9,27.1,8.3,18.0,15.7,35.8,38.7,2.2,2.0,52.6,91,1887,41,"Carrollwood Crossing,Tampa,FL","(28.07206345, -82.5246482697083)",28.07206345,-82.5246482697083
221,362,0.035,0.3,1.1,1.9,5.9,5.7,8310,96,Carrollwood Estates,40.1,6.9,51.1,36.8,7.1,8.1,8.1,53.4,32.6,0.0,1.8,65.1,10,286,5,"Carrollwood Estates,Tampa,FL","(28.047757, -82.480972)",28.047757,-82.480972
223,364,0.045,2.4,1.4,1.6,39.0,36.3,58438,1327,Carrollwood Key,50.3,26.5,36.3,21.2,4.8,13.0,15.2,34.5,34.2,7.0,34.5,90.9,89,1966,42,"Carrollwood Key,Tampa,FL","(28.0536763, -82.3993143)",28.0536763,-82.3993143
224,365,0.682,2.7,3.6,4.2,41.9,39.5,60091,1153,Carrollwood Meadows,50.9,18.6,45.1,25.9,6.7,20.9,14.3,39.4,35.3,1.6,4.5,75.9,4652,6819,2001,"Carrollwood Meadows,Tampa,FL","(28.047757, -82.480972)",28.047757,-82.480972
226,369,0.043,3.6,9.4,1.9,34.0,35.7,66250,1134,Carrollwood Reserve,84.6,18.6,62.3,14.9,6.7,19.5,19.8,39.4,35.3,0.0,5.0,77.5,41,960,18,"Carrollwood Reserve,Tampa,FL","(28.07206345, -82.5246482697083)",28.07206345,-82.5246482697083
227,370,0.031,2.1,1.1,1.9,45.1,43.5,63750,736,Carrollwood South,40.1,6.9,51.1,35.6,7.1,8.1,8.1,53.4,32.6,0.0,1.7,65.1,85,2729,41,"Carrollwood South,Tampa,FL","(28.07206345, -82.5246482697083)",28.07206345,-82.5246482697083
229,372,0.389,2.4,1.2,2.0,42.4,35.4,62196,978,Carrollwood Springs,39.1,14.6,41.8,32.2,1.4,16.4,17.3,52.1,31.9,0.6,5.3,65.8,1379,3549,689,"Carrollwood Springs,Tampa,FL","(28.047757, -82.480972)",28.047757,-82.480972
236,383,0.003,2.5,1.2,1.8,48.9,45.1,54760,851,Cartertown,62.1,16.0,42.9,11.4,1.7,11.6,25.5,46.5,35.9,0.0,22.9,74.9,12,4483,7,"Cartertown,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
237,384,0.866,1.9,1.4,1.6,40.4,33.9,53921,1438,Carver City,34.9,18.3,21.5,26.5,4.0,16.1,29.2,39.2,38.5,1.7,15.2,45.8,324,374,165,"Carver City,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
238,388,0.02,39.0,1.8,2.2,39.9,43.1,142695,970,Casa Blanca,80.0,14.8,78.8,29.9,4.8,9.6,6.5,49.4,30.9,0.0,2.9,82.6,25,1275,12,"Casa Blanca,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
242,404,0.006999999999999999,2.8,1.6,1.9,41.7,37.7,54268,1273,Castillo,51.1,38.6,46.1,20.7,3.9,20.1,14.8,20.7,36.9,5.9,10.8,68.9,17,2474,8,"Castillo,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
244,406,0.011000000000000001,3.3,1.2,1.8,39.3,29.5,34694,919,Castle Gardens,57.5,14.5,42.2,22.3,3.9,19.9,25.4,33.7,47.9,5.7,8.3,80.8,76,6626,40,"Castle Gardens,Tampa,FL","(28.0377916, -82.4513054)",28.0377916,-82.4513054
245,407,0.004,2.6,1.4,1.7,48.6,23.7,32235,914,Castle Homes,44.8,3.8,15.2,33.5,4.9,35.6,23.0,24.5,66.8,0.0,39.3,56.0,10,2383,3,"Castle Homes,Tampa,FL","(28.0377916, -82.4513054)",28.0377916,-82.4513054
248,410,0.026000000000000002,2.3,1.2,1.9,36.7,28.7,34572,817,Causeway Boulevard,45.3,19.0,25.2,15.6,5.8,10.9,31.6,24.1,51.0,8.0,27.0,46.8,26,995,14,"Causeway Boulevard,Tampa,FL","(27.923031, -82.409629)",27.923031,-82.409629
249,411,0.03,36.0,1.5,2.2,46.3,41.6,51833,784,Causeway Manor,49.5,17.5,45.7,11.1,9.5,12.0,15.7,22.1,51.0,11.0,16.8,44.6,133,4504,71,"Causeway Manor,Tampa,FL","(27.9675479, -82.566112)",27.9675479,-82.566112
