,Unnamed: 0,Area,Average_household_size,Average_number_of_vehicles_per_apartment,Average_number_of_vehicles_per_house_condo,Median_age_of_females,Median_age_of_males,Median_household_income,Median_rent,Neighborhood_Name,Percentage_of_family_households,Percentage_of_foreign_born_residents,Percentage_of_married_couple_families,Percentage_of_married_couple_families_with_children,Percentage_of_native_residents_born_outside_the_US,Percentage_of_never_married_females_Over_15,Percentage_of_never_married_males_Over_15,Percentage_of_people_born_in_another_state,Percentage_of_people_born_in_the_state,Percentage_of_people_that_do_not_speak_english,Percentage_of_single_mother_households,Percentage_of_units_with_a_mortgage,Population,Population_density,Population_of_males,Address,coords,lat,lon
24,61,0.019,2.3,1.3,1.4,52.6,32.3,41033,845,Americana,36.7,18.3,31.5,29.9,6.4,8.3,21.4,37.8,37.5,0.0,8.3,51.6,23,1207,12,"Americana,Tampa,FL","(27.993641, -82.45091)",27.993641,-82.45091
25,64,0.04,2.6,1.5,1.6,44.6,35.4,60675,1309,Andover Village,50.4,26.5,36.7,39.1,4.8,12.9,15.4,34.5,34.2,7.9,33.2,90.6,79,1987,37,"Andover Village,Tampa,FL","(26.7005012, -81.2188167)",26.7005012,-81.2188167
26,65,0.013999999999999999,2.2,1.4,1.6,53.3,44.0,52813,879,Angelina Pines,48.7,8.2,43.5,24.3,3.5,17.7,11.1,38.5,49.8,0.0,21.5,69.8,25,1773,11,"Angelina Pines,Tampa,FL","(27.9791649, -82.5349276153517)",27.9791649,-82.5349276153517
27,66,0.015,3.8,1.5,3.6,38.5,19.0,35578,757,Ansley Park,49.1,31.2,32.3,4.8,11.6,9.4,34.9,31.2,26.0,16.7,11.9,59.3,66,4522,43,"Ansley Park,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
28,68,0.003,3.4,1.5,1.1,28.3,24.0,37927,796,Arabian Acres,61.6,6.5,28.3,8.3,5.8,25.3,32.9,43.4,44.4,0.0,20.2,69.4,4,1535,2,"Arabian Acres,Tampa,FL","(27.868381, -82.353908)",27.868381,-82.353908
31,73,0.013999999999999999,3.2,1.7,2.0,40.6,36.9,65065,1186,Arbor Ridge,47.8,15.3,42.1,19.6,14.7,22.5,26.6,34.4,35.7,3.8,12.1,71.6,164,11768,83,"Arbor Ridge,Tampa,FL","(28.13586865, -82.32642490125)",28.13586865,-82.32642490125
34,77,0.09699999999999999,0.4,1.2,1.7,6.3,5.9,6133,110,Arlington Heights,39.7,14.5,34.3,18.6,8.6,17.2,25.2,37.6,39.4,11.4,13.0,65.9,23,237,13,"Arlington Heights,Tampa,FL","(27.979004, -82.460244)",27.979004,-82.460244
35,78,0.006,2.7,1.4,2.0,43.8,40.2,80000,897,Arlington Oaks,48.6,14.2,57.8,35.1,1.7,12.2,19.5,40.9,43.3,0.0,1.9,56.8,36,5546,19,"Arlington Oaks,Tampa,FL","(27.979004, -82.460244)",27.979004,-82.460244
36,80,0.026000000000000002,2.5,2.8,1.6,40.9,42.5,54010,872,Armenia Acres,44.3,11.5,44.0,29.5,2.2,9.1,14.3,40.0,46.4,2.6,9.8,64.8,82,3171,39,"Armenia Acres,Tampa,FL","(28.02979, -82.4842)",28.02979,-82.4842
37,81,0.047,2.3,1.4,1.3,40.3,27.7,36885,745,Armenia Court,41.9,38.6,27.6,9.5,3.9,10.3,26.7,20.7,36.9,12.5,27.5,53.6,433,9153,237,"Armenia Court,Tampa,FL","(27.99663895, -82.485127086043)",27.99663895,-82.485127086043
38,82,0.031,2.2,1.1,1.7,28.7,30.2,25500,689,Armenia Estates,39.4,39.3,30.9,39.6,9.4,20.3,12.6,22.1,29.2,14.3,15.5,34.1,71,2302,29,"Armenia Estates,Tampa,FL","(28.02979, -82.4842)",28.02979,-82.4842
39,83,0.626,2.6,1.3,1.4,42.1,36.0,38678,798,Armenia Gardens Estates,46.8,21.1,37.3,16.9,7.9,13.0,19.5,26.4,44.6,12.7,28.3,69.4,3212,5135,1677,"Armenia Gardens Estates,Tampa,FL","(28.02979, -82.4842)",28.02979,-82.4842
40,84,0.015,2.2,1.1,1.7,28.7,30.2,25500,689,Armenia Gardens,39.4,39.3,30.9,39.6,9.4,20.3,12.6,22.1,29.2,13.3,15.5,34.1,34,2317,14,"Armenia Gardens,Tampa,FL","(27.99663895, -82.485127086043)",27.99663895,-82.485127086043
41,85,0.017,2.8,1.7,1.9,37.3,39.3,50972,742,Armenia Heights,59.4,13.4,51.4,26.7,1.4,20.9,20.6,40.9,44.4,4.2,5.7,57.7,75,4376,36,"Armenia Heights,Tampa,FL","(27.9818792, -82.4846566)",27.9818792,-82.4846566
42,89,0.013999999999999999,2.5,1.1,1.5,34.9,38.1,37143,793,Arrand Heights,46.8,18.2,43.5,40.2,0.7,22.0,19.1,34.2,46.9,5.3,14.6,75.0,60,4321,27,"Arrand Heights,Tampa,FL","(27.939845, -82.452093)",27.939845,-82.452093
43,94,0.002,1.4,0.9,1.3,37.1,38.1,53493,1301,Art Center Lofts,13.7,18.3,12.7,0.0,6.1,23.4,34.6,57.9,17.7,0.0,78.6,78.2,4,2190,2,"Art Center Lofts,Tampa,FL","(27.9468194, -82.4689297034957)",27.9468194,-82.4689297034957
44,95,0.023,3.8,1.5,3.6,38.5,19.0,35578,757,Arthur Estates,49.1,31.2,32.3,4.8,11.6,9.4,34.9,31.2,26.0,17.9,11.8,59.3,103,4492,66,"Arthur Estates,Tampa,FL","(27.939845, -82.452093)",27.939845,-82.452093
45,96,0.002,2.5,1.4,1.8,44.2,42.9,115435,1125,Asbury Park Condo,57.4,11.4,58.1,25.2,2.1,16.2,11.8,49.0,37.5,0.0,10.8,78.3,13,5715,6,"Asbury Park Condo,Tampa,FL","(27.898492, -82.490217)",27.898492,-82.490217
46,97,0.11,0.5,0.8,1.9,8.5,8.6,15638,363,Asbury Park,44.5,5.8,42.6,34.2,8.2,7.2,7.6,47.9,38.0,0.0,6.7,63.4,81,736,39,"Asbury Park,Tampa,FL","(27.898492, -82.490217)",27.898492,-82.490217
51,104,0.001,1.7,0.5,1.3,23.4,44.1,11865,438,Askew Heights,42.0,12.3,4.4,2.7,7.2,46.9,18.9,32.5,48.0,0.0,71.5,56.1,3,2919,1,"Askew Heights,Tampa,FL","(27.9108241, -82.4538041)",27.9108241,-82.4538041
52,105,0.061,2.5,1.3,23.3,36.5,32.7,84624,1126,Aston Villas,25.2,14.8,33.2,38.2,4.8,13.1,11.9,49.4,30.9,6.2,14.4,35.7,244,4023,101,"Aston Villas,Tampa,FL","(27.9477595, -82.458444)",27.9477595,-82.458444
55,111,0.027999999999999997,2.1,1.5,1.7,35.5,40.8,46698,750,Avalon Heights,43.4,5.8,26.2,20.2,5.0,19.0,24.1,41.6,47.6,1.8,8.6,69.5,119,4261,58,"Avalon Heights,Tampa,FL","(28.071161, -82.4100627)",28.071161,-82.4100627
